filename,label
Image_1.jpg,SOUTHERN DOGFACE
,
Image_133.jpg,SOUTHERN DOGFACE
,
Image_145.jpg,SOUTHERN DOGFACE
,
Image_269.jpg,SOUTHERN DOGFACE
,
Image_340.jpg,SOUTHERN DOGFACE
,
Image_344.jpg,SOUTHERN DOGFACE
,
Image_388.jpg,SOUTHERN DOGFACE
,
Image_467.jpg,SOUTHERN DOGFACE
,
Image_570.jpg,SOUTHERN DOGFACE
,
Image_641.jpg,SOUTHERN DOGFACE
,
Image_650.jpg,SOUTHERN DOGFACE
,
Image_763.jpg,SOUTHERN DOGFACE
,
Image_870.jpg,SOUTHERN DOGFACE
,
Image_929.jpg,SOUTHERN DOGFACE
,
Image_1073.jpg,SOUTHERN DOGFACE
,
Image_1127.jpg,SOUTHERN DOGFACE
,
Image_1148.jpg,SOUTHERN DOGFACE
,
Image_1326.jpg,SOUTHERN DOGFACE
,
Image_1442.jpg,SOUTHERN DOGFACE
,
Image_1524.jpg,SOUTHERN DOGFACE
,
Image_1533.jpg,SOUTHERN DOGFACE
,
Image_1544.jpg,SOUTHERN DOGFACE
,
Image_1659.jpg,SOUTHERN DOGFACE
,
Image_1780.jpg,SOUTHERN DOGFACE
,
Image_1794.jpg,SOUTHERN DOGFACE
,
Image_1919.jpg,SOUTHERN DOGFACE
,
Image_1925.jpg,SOUTHERN DOGFACE
,
Image_2039.jpg,SOUTHERN DOGFACE
,
Image_2050.jpg,SOUTHERN DOGFACE
,
Image_2062.jpg,SOUTHERN DOGFACE
,
Image_2108.jpg,SOUTHERN DOGFACE
,
Image_2133.jpg,SOUTHERN DOGFACE
,
Image_2137.jpg,SOUTHERN DOGFACE
,
Image_2332.jpg,SOUTHERN DOGFACE
,
Image_2335.jpg,SOUTHERN DOGFACE
,
Image_2705.jpg,SOUTHERN DOGFACE
,
Image_2739.jpg,SOUTHERN DOGFACE
,
Image_2849.jpg,SOUTHERN DOGFACE
,
Image_2944.jpg,SOUTHERN DOGFACE
,
Image_2993.jpg,SOUTHERN DOGFACE
,
Image_3084.jpg,SOUTHERN DOGFACE
,
Image_3248.jpg,SOUTHERN DOGFACE
,
Image_3304.jpg,SOUTHERN DOGFACE
,
Image_3422.jpg,SOUTHERN DOGFACE
,
Image_3558.jpg,SOUTHERN DOGFACE
,
Image_3861.jpg,SOUTHERN DOGFACE
,
Image_3897.jpg,SOUTHERN DOGFACE
,
Image_3944.jpg,SOUTHERN DOGFACE
,
Image_3958.jpg,SOUTHERN DOGFACE
,
Image_3996.jpg,SOUTHERN DOGFACE
,
Image_4092.jpg,SOUTHERN DOGFACE
,
Image_4162.jpg,SOUTHERN DOGFACE
,
Image_4271.jpg,SOUTHERN DOGFACE
,
Image_4358.jpg,SOUTHERN DOGFACE
,
Image_4572.jpg,SOUTHERN DOGFACE
,
Image_4588.jpg,SOUTHERN DOGFACE
,
Image_4635.jpg,SOUTHERN DOGFACE
,
Image_4650.jpg,SOUTHERN DOGFACE
,
Image_4729.jpg,SOUTHERN DOGFACE
,
Image_4732.jpg,SOUTHERN DOGFACE
,
Image_4764.jpg,SOUTHERN DOGFACE
,
Image_4794.jpg,SOUTHERN DOGFACE
,
Image_4852.jpg,SOUTHERN DOGFACE
,
Image_4915.jpg,SOUTHERN DOGFACE
,
Image_4927.jpg,SOUTHERN DOGFACE
,
Image_5094.jpg,SOUTHERN DOGFACE
,
Image_5219.jpg,SOUTHERN DOGFACE
,
Image_5229.jpg,SOUTHERN DOGFACE
,
Image_5294.jpg,SOUTHERN DOGFACE
,
Image_5333.jpg,SOUTHERN DOGFACE
,
Image_5362.jpg,SOUTHERN DOGFACE
,
Image_5372.jpg,SOUTHERN DOGFACE
,
Image_5439.jpg,SOUTHERN DOGFACE
,
Image_5497.jpg,SOUTHERN DOGFACE
,
Image_5563.jpg,SOUTHERN DOGFACE
,
Image_5591.jpg,SOUTHERN DOGFACE
,
Image_5744.jpg,SOUTHERN DOGFACE
,
Image_5766.jpg,SOUTHERN DOGFACE
,
Image_5794.jpg,SOUTHERN DOGFACE
,
Image_6078.jpg,SOUTHERN DOGFACE
,
Image_6087.jpg,SOUTHERN DOGFACE
,
Image_6112.jpg,SOUTHERN DOGFACE
,
Image_6202.jpg,SOUTHERN DOGFACE
,
Image_6295.jpg,SOUTHERN DOGFACE
,
Image_6400.jpg,SOUTHERN DOGFACE
,
Image_6461.jpg,SOUTHERN DOGFACE
,
Image_2.jpg,ADONIS
,
Image_79.jpg,ADONIS
,
Image_280.jpg,ADONIS
,
Image_330.jpg,ADONIS
,
Image_348.jpg,ADONIS
,
Image_452.jpg,ADONIS
,
Image_461.jpg,ADONIS
,
Image_555.jpg,ADONIS
,
Image_624.jpg,ADONIS
,
Image_666.jpg,ADONIS
,
Image_774.jpg,ADONIS
,
Image_796.jpg,ADONIS
,
Image_848.jpg,ADONIS
,
Image_901.jpg,ADONIS
,
Image_917.jpg,ADONIS
,
Image_964.jpg,ADONIS
,
Image_1087.jpg,ADONIS
,
Image_1131.jpg,ADONIS
,
Image_1211.jpg,ADONIS
,
Image_1565.jpg,ADONIS
,
Image_1712.jpg,ADONIS
,
Image_1772.jpg,ADONIS
,
Image_1849.jpg,ADONIS
,
Image_1858.jpg,ADONIS
,
